KryticZeuz         ,1068 ,1112 ,1499 ,1479 ,1224 ,   0 ,1381 ,   0 ,   0 ,1019 ,   0 ,   0 ,1217
LaurenZSide        ,   0 ,   0 ,   0 ,   0 , 937 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1134 ,   0
LDShadowLady       ,1469 ,1687 ,1522 ,   0 ,   0 , 917 ,   0 ,   0 ,   0 ,1862 ,   0 ,   0 ,1365
ludwigahgren       ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1371
Magistrex          ,   0 ,1264 ,1630 ,1542 ,1576 ,   0 ,1923 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
Marielitai         ,   0 ,   0 , 886 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
Mefs               ,   0 ,2655 ,   0 ,   0 ,2311 ,3223 ,   0 ,2784 ,2164 ,   0 ,   0 ,   0 ,2069
Michaelmcchill     ,2941 ,2054 ,1505 ,2116 ,1619 ,2318 ,1645 ,2060 ,   0 ,2005 ,   0 ,1692 ,   0
MiniMuka           ,   0 ,2103 ,   0 ,1435 ,   0 ,1346 ,   0 ,1592 ,   0 ,   0 ,1936 ,   0 ,   0
MysterySalesman    , 869 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
NettyPlays         ,1351 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
Nihachu            ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1260 , 600 ,1102 ,   0
OrionSound         ,   0 ,   0 , 984 ,1528 ,1581 ,1270 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1814
PEARLBYTEZ         ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 , 705 ,   0 ,   0 ,   0
PearlescentMoon    ,   0 ,   0 ,   0 ,   0 ,   0 ,1691 ,1496 ,1379 ,1972 ,   0 ,2226 ,1930 ,   0
PeteZahHutt        ,2929 ,3657 ,3621 ,3313 ,3683 ,3525 ,4221 ,3040 ,3069 ,3368 ,   0 ,2889 ,3164
Ph1LzA             ,2261 ,3401 ,   0 ,3150 ,2075 ,2556 ,2931 ,2660 ,1923 ,2424 ,2140 ,3160 ,2839
Plumbella          ,   0 ,   0 , 456 , 884 , 455 ,   0 , 766 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
Pokimane           ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 , 676 ,   0 ,   0 ,   0
Punz               ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,2449 ,2649
Quackity           ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1572 ,1162 ,1365
Quig               ,3330 ,3769 ,2415 ,2685 ,3732 ,3519 ,3330 ,3549 ,2932 ,3730 ,2979 ,2741 ,2471
Rafessor           ,2313 ,2120 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
Renthedog          ,   0 ,   0 ,   0 ,1785 ,1703 ,1498 ,1243 ,1280 ,2099 ,   0 ,1675 ,1425 ,   0
RIPmika            ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 , 453 , 699 ,   0 ,   0 ,   0 ,   0
Roguskii           ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 , 640 ,   0 ,   0 ,   0
ryguyrocky         ,2470 ,2822 ,1759 ,   0 ,   0 ,2320 ,2477 ,   0 ,1939 ,   0 ,   0 ,2116 ,   0
Sapnap             ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,2963 ,2497 ,3459 ,2284 ,2533 ,3138 ,2886
SB737              ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1861 ,1925 ,   0 ,   0 ,2413 ,   0
Seapeekay          ,   0 ,2135 ,2122 ,2522 ,2433 ,2273 ,2648 ,2160 ,2116 ,   0 ,2218 ,2579 ,2063
ShubbleYT          ,2626 ,1605 ,2562 ,1702 ,2447 ,2015 ,1376 ,1005 ,1684 ,2109 ,2150 ,1834 ,2001
Smajor1995         ,2361 ,2567 ,2711 ,1950 ,2485 ,2375 ,2511 ,1801 ,2268 ,2752 ,2681 ,2400 ,2403
Smallishbeans      ,1943 ,2082 ,1898 ,   0 ,   0 ,1499 ,   0 ,2463 ,1670 ,2504 ,1768 ,2160 ,2066
SolidarityGaming   ,2205 ,1508 ,2721 ,2097 ,2486 ,2216 ,1271 ,1748 ,1904 ,2313 ,1860 ,1970 ,   0
Spifey             ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,1896 ,   0 ,   0 ,1679 ,   0
Steph0sims         ,   0 ,   0 , 390 ,   0 , 727 , 533 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0
sylvee_            ,   0 , 921 ,1513 ,   0 ,1277 ,1291 ,1769 ,1638 ,1606 ,1537 ,1053 ,   0 ,1641
